article_id,title,ttr,msttr,lexical_density,flesch_reading_ease,gunning_fog,word_count,sentence_count,avg_sentence_length
0,Hurricane Melissa is now a rare Category 5 storm a,44.30501930501931,74.6,46.95062923523717,47.87286393464578,13.690263827507701,1230,51,24.11764705882353
1,Hurricane Melissa is now a rare Category 5 storm a,44.30501930501931,74.6,46.95062923523717,47.87286393464578,13.690263827507701,1230,51,24.11764705882353
2,Tropical Storm Melissa threatens Jamaica with days,40.078585461689585,72.1,46.875,44.6844314868805,15.28046647230321,1183,46,25.717391304347824
3,Hurricane forecast: Melissa is expected to become ,47.46922024623803,77.14285714285714,49.93160054719562,44.308492757780044,15.083264018356516,840,38,22.105263157894736
4,Hurricane forecast: Melissa is now forecast to bec,41.271820448877804,73.5,47.52851711026616,47.421353562685255,14.797268393248295,914,39,23.435897435897434
5,Tropical Storm Melissa is expected to become a hur,40.422721268163805,71.57142857142857,45.57640750670242,49.08561577220533,15.07396297164284,853,34,25.08823529411765
6,Hurricane Melissa is now a rare Category 5 storm a,44.30501930501931,74.6,46.95062923523717,47.87286393464578,13.690263827507701,1230,51,24.11764705882353
7,Jamaica braces as Hurricane Melissa strengthens of,47.10059171597633,73.375,43.529411764705884,46.73324969400247,15.145654834761324,1011,36,28.083333333333332
8,"Hurricane Melissa, now Category 4, threatens heavy",54.71698113207547,71.75,46.02851323828921,41.12791289403086,16.009691482226692,568,23,24.695652173913043
9,"Hurricane Melissa rapidly intensifies, threatening",54.72527472527473,73.5,46.05543710021322,36.00323502722324,16.751179673321236,531,19,27.94736842105263
10,"Tropical Storm Melissa threatens Caribbean, kills ",52.21445221445221,74.75,45.4337899543379,42.04524684873951,17.32689075630252,517,17,30.41176470588235
11,Hurricane Melissa could be strongest to ever hit J,49.42263279445728,69.5,43.790849673202615,37.26508852258854,17.671550671550673,510,18,28.333333333333332
12,Hurricane Melissa threatens to bring catastrophic ,47.73462783171521,71.66666666666667,46.496815286624205,41.274503171247375,16.004228329809727,747,30,24.9
13,Hurricane Melissa is a mighty Category 5 storm in ,37.84722222222222,65.19999999999999,43.48561759729272,43.60121212121214,15.578802517932951,718,31,23.161290322580644
14,Will Hurricane Melissa impact South Florida? See i,35.0,60.16666666666667,47.275405007363766,48.56530288909602,14.708232370301335,773,36,21.47222222222222
15,Global Empowerment Mission prepares emergency supp,62.84403669724771,74.5,47.24770642201835,53.857284957195304,14.387117814920508,261,11,23.727272727272727
16,Hurricane Melissa bringing rough currents and wave,49.27113702623907,69.33333333333334,43.93063583815029,67.07501521143902,10.752418618801338,413,19,21.736842105263158
17,Massachusetts woman worries for family in Jamaica ,53.41614906832298,69.0,44.135802469135804,64.94755521472393,11.4279754601227,388,20,19.4
18,Hurricane Melissa was one of the strongest storms ,44.85645933014354,76.375,47.05882352941176,44.12978545602127,17.01016824085006,966,31,31.161290322580644
19,Cuba is staring down a direct hit from Melissa. He,54.88721804511278,74.0,56.41025641025641,50.22421739130439,12.577391304347826,311,15,20.733333333333334
20,Hurricane Melissa: Where and when will it make lan,37.67491926803014,67.66666666666666,41.93888303477345,50.90024655963305,13.81652104266783,1177,52,22.634615384615383
21,"Melissa leaves 50 dead, toll expected to rise in J",50.98039215686274,74.5,48.64,40.08831223628695,16.545991561181435,727,24,30.291666666666668
22,Latest News & Updates,80.0,80.0,28.000000000000004,32.56400000000002,18.0,28,1,28.0
23,Hurricane Melissa weighs on Minneapolis restaurate,55.3030303030303,69.5,39.849624060150376,55.234266151685404,13.266760299625469,324,16,20.25
24,U.S.-based aid groups rush to get supplies into st,58.64197530864198,73.99999999999999,43.59756097560975,46.71393939393943,15.454545454545457,402,17,23.647058823529413
